                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3652,                 8.5376,                 1.0569,                0.64782,                0.12775,                0.11717,                0.08186,                 1.3693,                 2.2976,                 1.1093,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.2953,                 5.6642,                 1.0342,                0.40992,                0.23154,                0.21449,                  0.145,                 1.4258,                 2.1329,                 1.1329,              0.0065528,              0.0065528,              0.0065528
                      3,                 1.3175,                 3.3404,                 1.0573,                0.44875,                0.32127,                0.29184,                0.19757,                 1.4757,                 2.0848,                 1.1971,              0.0096662,              0.0096662,              0.0096662
                      4,                 1.3216,                 1.8658,                 1.0642,                 0.5353,                0.34763,                0.34646,                0.23695,                 1.4012,                 1.8054,                 1.1422,               0.009505,               0.009505,               0.009505
                      5,                 1.2716,                  1.474,                 1.0451,                0.63777,                0.33003,                0.41158,                0.28484,                 1.3341,                 1.6269,                 1.1116,               0.009505,               0.009505,               0.009505
                      6,                 1.2374,                 1.3314,                 1.0357,                0.57693,                0.48957,                0.49172,                 0.3408,                 1.3367,                 1.5719,                 1.1149,                0.00934,                0.00934,                0.00934
                      7,                 1.2114,                 1.2482,                 1.0253,                0.71614,                0.46423,                0.55962,                0.39132,                 1.2943,                 1.4887,                 1.0923,               0.009175,               0.009175,               0.009175
                      8,                 1.1969,                  1.181,                 1.0222,                 0.6716,                0.52173,                0.55511,                0.40278,                  1.288,                 1.4638,                 1.1029,                0.00901,                0.00901,                0.00901
                      9,                 1.1712,                 1.1279,                 1.0118,                0.72293,                0.50242,                0.59454,                0.42674,                 1.2444,                 1.4838,                 1.0662,               0.008845,               0.008845,               0.008845
                     10,                 1.1507,                 1.0824,                  1.008,                0.70112,                0.57767,                0.67401,                0.47978,                  1.248,                 1.3469,                  1.079,                0.00868,                0.00868,                0.00868
                     11,                  1.139,                 1.0621,                0.99984,                0.75092,                0.52995,                0.65682,                0.47858,                 1.2438,                 1.3333,                 1.0787,               0.008515,               0.008515,               0.008515
                     12,                 1.1268,                 1.0234,                0.99857,                0.77222,                0.57122,                0.68349,                0.49114,                 1.2247,                 1.3045,                 1.0613,                0.00835,                0.00835,                0.00835
                     13,                 1.1294,                 1.0141,                 1.0016,                0.70816,                0.65095,                0.70881,                0.51207,                 1.2082,                 1.2862,                 1.0617,               0.008185,               0.008185,               0.008185
                     14,                 1.1153,                0.98331,                0.99583,                0.81825,                0.56604,                0.71745,                0.52236,                 1.1988,                 1.2482,                 1.0395,                0.00802,                0.00802,                0.00802
                     15,                 1.1045,                0.96027,                 0.9895,                 0.7089,                0.67105,                0.73257,                0.54113,                 1.1992,                 1.2184,                 1.0502,               0.007855,               0.007855,               0.007855
                     16,                 1.0928,                0.94578,                0.98631,                0.76149,                0.65235,                0.74243,                0.54118,                 1.1991,                 1.2134,                 1.0534,                0.00769,                0.00769,                0.00769
                     17,                 1.0875,                0.92181,                0.98459,                0.78304,                0.65443,                0.75312,                0.54314,                 1.1826,                 1.2054,                 1.0352,               0.007525,               0.007525,               0.007525
                     18,                 1.0881,                0.92235,                0.98416,                0.73741,                0.71592,                0.77681,                0.57229,                 1.1795,                 1.1952,                 1.0571,                0.00736,                0.00736,                0.00736
                     19,                 1.0854,                0.90196,                0.98306,                0.74758,                0.70051,                0.76204,                 0.5622,                 1.1763,                 1.1657,                 1.0565,               0.007195,               0.007195,               0.007195
                     20,                 1.0706,                0.88576,                0.97458,                0.76378,                0.69443,                0.77566,                  0.574,                 1.1591,                 1.1505,                 1.0365,                0.00703,                0.00703,                0.00703
                     21,                 1.0727,                0.86989,                0.97553,                0.83499,                0.67114,                0.79222,                0.58472,                 1.1503,                 1.1433,                 1.0363,               0.006865,               0.006865,               0.006865
                     22,                   1.06,                0.86155,                 0.9743,                0.83192,                0.68396,                0.79711,                 0.5861,                 1.1604,                 1.1298,                 1.0474,                 0.0067,                 0.0067,                 0.0067
                     23,                 1.0584,                0.85388,                0.97461,                0.76889,                0.75558,                0.81747,                0.60741,                 1.1605,                 1.1177,                  1.035,               0.006535,               0.006535,               0.006535
                     24,                 1.0561,                0.84164,                0.97161,                0.84625,                 0.6941,                0.80842,                0.60106,                 1.1534,                 1.1169,                 1.0344,                0.00637,                0.00637,                0.00637
