                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2791,                 7.1225,                 1.0369,                0.70376,                 0.1847,                0.24777,                0.18004,                 1.3078,                 2.0638,                 1.0691,              0.0033294,              0.0033294,              0.0033294
                      2,                 1.2196,                 1.7576,                 1.0069,                0.56631,                0.39249,                0.44198,                0.30238,                 1.3533,                 1.7371,                 1.1155,              0.0065528,              0.0065528,              0.0065528
                      3,                 1.2571,                 1.4795,                 1.0228,                0.50336,                0.41753,                0.43506,                 0.2964,                 1.3597,                 1.9003,                 1.0965,              0.0096662,              0.0096662,              0.0096662
                      4,                  1.262,                 1.3771,                 1.0308,                 0.5569,                0.45408,                0.47756,                0.32968,                 1.3591,                 1.6993,                 1.1178,               0.009505,               0.009505,               0.009505
                      5,                 1.2241,                 1.2322,                 1.0208,                0.61208,                0.52625,                0.55913,                0.38912,                 1.3471,                 1.4968,                 1.1176,               0.009505,               0.009505,               0.009505
                      6,                 1.1915,                 1.1384,                 1.0095,                 0.6238,                0.58445,                0.58364,                 0.4078,                 1.2738,                 1.4362,                  1.079,                0.00934,                0.00934,                0.00934
                      7,                 1.1596,                 1.0719,                  1.003,                0.71609,                 0.5973,                 0.6523,                 0.4547,                  1.253,                 1.3336,                  1.064,               0.009175,               0.009175,               0.009175
                      8,                 1.1438,                 1.0281,                0.99876,                0.72454,                0.63188,                  0.688,                0.49597,                 1.2429,                 1.3325,                 1.0519,                0.00901,                0.00901,                0.00901
                      9,                 1.1235,                0.98642,                0.99187,                0.70765,                0.63819,                0.73606,                0.51695,                   1.25,                 1.3488,                 1.0664,               0.008845,               0.008845,               0.008845
                     10,                 1.1034,                0.94697,                0.98778,                0.74478,                  0.677,                0.74439,                0.53079,                 1.2165,                 1.2443,                 1.0561,                0.00868,                0.00868,                0.00868
                     11,                 1.0941,                0.93816,                0.98326,                0.74852,                0.67972,                0.78417,                0.57707,                 1.2163,                 1.2259,                 1.0722,               0.008515,               0.008515,               0.008515
                     12,                 1.0775,                0.89368,                0.97803,                0.77336,                 0.7016,                0.78656,                0.57048,                 1.2024,                 1.2265,                 1.0565,                0.00835,                0.00835,                0.00835
                     13,                 1.0809,                 0.8891,                0.97773,                0.77166,                0.72064,                0.78454,                0.57024,                 1.1993,                  1.206,                 1.0558,               0.008185,               0.008185,               0.008185
                     14,                 1.0624,                0.86267,                0.97291,                 0.7463,                0.74558,                0.81009,                0.59782,                 1.1816,                 1.1303,                 1.0405,                0.00802,                0.00802,                0.00802
                     15,                 1.0519,                0.84456,                0.96755,                0.78875,                0.71213,                0.80265,                0.59867,                 1.1773,                 1.1371,                 1.0466,               0.007855,               0.007855,               0.007855
                     16,                 1.0448,                0.83234,                0.96701,                0.82421,                0.73977,                0.80666,                0.59972,                 1.1567,                 1.1525,                 1.0314,                0.00769,                0.00769,                0.00769
                     17,                  1.041,                0.81481,                0.96585,                0.82646,                0.72466,                0.81089,                0.60188,                 1.1567,                 1.0839,                 1.0319,               0.007525,               0.007525,               0.007525
                     18,                 1.0309,                0.80015,                0.96037,                0.82128,                0.75878,                 0.8398,                0.62822,                 1.1621,                 1.0803,                 1.0425,                0.00736,                0.00736,                0.00736
                     19,                 1.0248,                0.78111,                0.95872,                0.80905,                0.76996,                0.83536,                0.63046,                 1.1319,                 1.0678,                 1.0253,               0.007195,               0.007195,               0.007195
                     20,                 1.0148,                0.77848,                0.95582,                0.79602,                0.76311,                0.83289,                0.62218,                 1.1282,                 1.0631,                 1.0323,                0.00703,                0.00703,                0.00703
                     21,                 1.0111,                0.76102,                  0.952,                0.84613,                0.77212,                0.83869,                0.63783,                 1.1182,                 1.0421,                 1.0223,               0.006865,               0.006865,               0.006865
                     22,                 1.0002,                0.74713,                0.95322,                0.84211,                0.76311,                0.83639,                0.63486,                 1.1203,                 1.0322,                  1.033,                 0.0067,                 0.0067,                 0.0067
                     23,                0.99585,                0.74037,                0.95342,                0.87817,                0.76442,                0.83406,                0.63547,                 1.1219,                 1.0171,                 1.0207,               0.006535,               0.006535,               0.006535
                     24,                0.99691,                 0.7273,                0.94838,                0.87547,                0.77478,                0.86216,                0.65543,                 1.1065,                 1.0256,                  1.023,                0.00637,                0.00637,                0.00637
                     25,                0.98187,                0.71459,                0.94654,                0.85369,                0.80458,                0.85663,                0.65801,                 1.1224,                 1.0036,                 1.0269,               0.006205,               0.006205,               0.006205
                     26,                0.98668,                0.71293,                 0.9477,                0.85644,                0.78956,                0.84695,                0.64013,                 1.1088,                 1.0211,                 1.0265,                0.00604,                0.00604,                0.00604
                     27,                0.97135,                0.69978,                0.94411,                0.86585,                0.80491,                 0.8632,                0.65536,                 1.0948,                0.99345,                 1.0159,               0.005875,               0.005875,               0.005875
                     28,                0.96988,                0.69193,                0.94178,                0.88892,                0.79133,                0.85948,                0.65709,                 1.0917,                0.98547,                 1.0168,                0.00571,                0.00571,                0.00571
